Référence,Type de bien,Location / Colocation,Loyer location €/mois avec charges,Loyer colocation €/mois,Surface totale m²,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /chambre (si coloc) /an,Autres coûts /an,Lien,Description entière annonce,Date publication annonce
42,Appartement,Colocation,300,900,75,12,5,3,Tout équipé,VALENCE,"o Proximité de la cartoucherie
o Accès à toutes les lignes de bus desservant tous les quartiers de la ville 
o Tous les commerces et services (Pharmacie, banques, restaurants, boulangeries, supermarché, coiffeur, médiathèque, etc.)
o Proche de la zone industrielle et commerciale de Bourg Les Valence",3,C,C,,,,https://www.leboncoin.fr/colocations/1895960823.htm,"Chambre disponible immédiatement 300€ + 60€ de charges Bonjour, Je vous propose une chambre meublée dans un appartement de 75m2 agréable à vivre, tout équipé et meublé pour une colocation de qualité. Idéal pour un séjour de longue durée. Ambiance partage, tranquillité, vie de jeunes actifs L’appartement se compose de 3 chambres, lumineux et traversant Est Ouest donnant une superbe vue imprenable sur Crussol depuis le balcon. Il est situé au 49 avenue de Lyon, Bourg les Valence, dans une résidence sécurisée au 4ème étage sans ascenseur, idéalement placé à deux pas du centre-ville et de toutes les commodités, idéal pour les déplacements en vélo avec un accès spécifique pour garage à vélos. Un arrêt de bus est situé au pied de l’immeuble Une rénovation complète a été effectuée en 2019, le mobilier est entièrement neuf et pensé par une décoratrice d’intérieur. Conçu spécialement pour votre confort, cet appartement a été pensé pour garantir le bien-être de ses colocataires. Un climatiseur réversible, Pompe à chaleur, vous offrira un confort supplémentaire notamment l’été UNE FORMULE TOUT INCLUS AU FORFAIT : INTERNET HAUT DEBIT, ELECTRICITE, CHAUFFAGE, EAU FROIDE ET CHAUDE, CHARGES PARTIES COMMUNES Loyers : 360€ tout compris 300€ € + 60 € de charges (pas de régulation) Plus besoin de courir et de perdre du temps précieux, vous avez plus qu’à poser vos valises. Pas de déménagement, d’achat et aucun abonnement à contacter. Pas de frais d’agence. Votre budget est ainsi maitrisé, pas de mauvaise surprise en fin de mois. ++++ A propos de l’appartement ++++ Trois belles chambres meublées de 10 à 11m2, standing et décorée avec gout par une décoratrice d’intérieure, tout confort, grand lit double 140 *200, bureau chaise, télévision, placards de rangement, table de nuit, lampe de chevet, oreiller, couettes et accès internet haut débit fibre wifi. Les chambres sont équipées de fenêtres double vitrage. Grand salon cuisine ouvert moderne climatisé avec un balcon dans la cuisine. Tout équipé de rangements, comprenant un bar, four, plaque de cuisson, frigo congélateur, bouilloire, cafetière, four à micro-onde, télé avec internet / wifi, Vaisselle-ustensile et matériel de cuisine complet, lave-linge, sèche-linge et lave-vaisselle ++++ Localisation et services++++ L’appartement est dans une résidence sécurisée, à deux pas de toutes les commodités et du centre-ville. Sur l’arrière du bâtiment une rue peu passante donnant une vue exceptionnelle sur Crussol du balcon et sur l’avant du bâtiment une jolie vue dégagée sur la ville. o Proximité de la cartoucherie o Accès à toutes les lignes de bus desservant tous les quartiers de la ville o Tous les commerces et services (Pharmacie, banques, restaurants, boulangeries, supermarché, coiffeur, médiathèque, etc.) o Proche de la zone industrielle et commerciale de Bourg Les Valence ++++ la colocation en elle-même ++++ Cout mensuel : Loyers : 300€ tout compris 300 € + 60 € de charges, eau / électricité / internet, ordures ménagères, entretien des parties communes Durée minimum : 1 mois, dans l’idéal 12 mois. Bail individuel, de mobilité Garant : 1 minimum demandé Dépôt de garantie : 405€ Aide au logement : ce logement donne la possibilité de bénéficier des aides au logement de 80€ à 180€ suivant votre situation. Le nombre d’occupants est limité à 3 personnes, un par chambre. Pour plus de renseignements, n’hésitez pas à nous contacter. David",15/12/2020
43,Appartement,Colocation,400,1600,105,"15,23809524",6,4,Tout équipé,VALENCE,"Idéalement placée au 23 rue Mozart à Valence, à deux pas des universités, du centre commercial , d'un arrêt de bus. Accès facile aux autoroutes.",4,D,D,,,,https://www.leboncoin.fr/colocations/1474490526.htm,"Bonjour, colocation 4 chambres dans superbe appartement dans résidence le Parc au 3 eme étage, traversant et très lumineux. 105 m2, entièrement meublé et équipé une chambre Disponible de suite Idéalement placée au 23 rue Mozart à Valence, à deux pas des universités, du centre commercial , d'un arrêt de bus. Accès facile aux autoroutes. Dans l'entrée espace de rangement , dressing. Cuisine équipée, buanderie, salon télé,quatre chambres, balcon , parking gratuit . Dans les chambres , bureau, armoire et lit de 140 avec drap et couette. Logement meublé avec lave linge, lave vaisselle, frigo , four , micro onde , vaisselle fournie.Il n'y a plus qu'à poser les valises. Conviendrait parfaitement à Etudiant , CDI, CDD Loyer : 400 euros charges comprises ( eau, électricité, chauffage,wifi,gaz de ville, ordure ménagère, entretien) une Chambre disponible de suite Pour plus de précisions contacter Eric au 0641972358 A Bientôt !",15/12/2020
44,Maison,Colocation,430,2150,150,"14,33333333",9,5,Tout équipé,VALENCE,Villa en lotissement,2,B,B,,,,https://www.leboncoin.fr/colocations/1895818863.htm,"Loue chambres pour des jeunes professionnels, CDI, CDD, stagiaires. Colocation meublée dans une villa (sans propriétaire) en lotissement résidentiel et calme. 200 m arrêt de bus. 5 chambres, salle à manger/salon, cuisine équipée, 2 douches, 2 w-c, 5 vasques, 3 réfrigérateurs plus congélateur à tiroirs, lave-vaisselle, lave-linge, télévision, canapé, équipement ménager (vaisselle, robots, aspirateur, fer à repasser, etc...), balcon, wifi + internet câblé dans chaque chambres. Entretien des parties communes une fois par mois. Loyer et charges pour une personne : 430 euros tout compris (eau, électricité, chauffage, internet, assurance habitation, taxe d'habitation, entretien mensuel). Point de situation (voir sur la carte). Contrat individuel. Parking réservé + emplacement pour vélos et motos. UNE CHAMBRE DISPONIBLE IMMÉDIATEMENT Contact seulement par téléphone ou SMS : 06 11 24 45 16",15/12/2020
45,Maison,Colocation,350,350,85,"4,117647059",4,1,Tout équipé,VALENCE,,,C,D,,540,,https://www.leboncoin.fr/colocations/1860562627.htm,Chambre meublée en colocation dans une maison moderne climatisée et avec petit jardin. 350€ plus charges fixes de 45€ par mois. Idéal pour une jeune étudiante. Téléphone David sur 0751640996.,14/12/2020
46,Appartement,Colocation,330,330,60,"5,5",3,1,Tout équipé,VALENCE,"Proche de toute commodité, Leclerc à 3 min a pied, Géant Casino à 7 min à pied. L'appartement se situe sur l'avenue Victor Hugo. Arrêt de bus « Grands Moulins » au pied de l'immeuble qui dessert le centre ville.",3,D,E,,,,https://www.leboncoin.fr/colocations/1874354044.htm,"Loue une chambre meublée chez l'habitant avec 1 lit, 1 penderie, 1 bureau et 1 balcon dans un appartement de 60 m². Appartement entièrement non fumeur avec la présence d'un chat. Donc pas d'animaux acceptés. Parties commune : salle de bain, cuisine équipée (four, plaque cuisson, micro-onde etc) et salon. APL possible. Pour collocation sympa dans un cadre calme. Parking au pied de l'immeuble, résidence fermée. Proche de toute commodité, Leclerc à 3 min a pied, Géant Casino à 7 min à pied. L'appartement se situe sur l'avenue Victor Hugo. Arrêt de bus « Grands Moulins » au pied de l'immeuble qui dessert le centre ville. Projet d'un futur potager sur 2 éme balcon en cours. 330 euros charges comprises (eau, électricité, chauffage, internet). Actuellement disponible, premier contact par mail. Caution 300 euros Libre le 29/11/2020. steve2442@hotmail.fr Vous pouvez m'envoyer avant ou après visite : - 1 photocopie de la CNI du locataire et des garants - 1 justificatif de domicile des garants dernière feuille d'imposition des garants ou du locataire - contrat de travail si salarié - 3 dernieres quittance de loyer ou attestation du bailleur - 3 derniers bulletins de salaire des garants ou du locataire Steve",14/12/2020
47,Appartement,Colocation,340,1020,63,"16,19047619",4,3,Tout équipé,VALENCE,10 min centre ville,3,E,F,,720,,https://www.leboncoin.fr/colocations/1887425724.htm,"Bonjour, Je vous propose un appartement de 3 chambres meublées en colocation, entièrement refait à neuf cet été. Il est situé rue des Moulins, à 100m du lycée Camille Vernet. Dans une copropriété calme, avec entrée sécurisée, à 10min à pied du centre ville et de la gare. Deux locataires, de 20 et 25 ans, sont déjà présents. Il reste une chambre de disponible (11m2). Elle est équipée d’un lit-coffre 2 places (avec draps, couettes et oreillers), d’un dressing, d’une table de chevet, d’une chaise et d’un bureau. La cuisine est entièrement équipée : réfrigérateur/congélateur, plaques à induction, four, hotte, lave-linge, micro-ondes, bouilloire, mange-debout, vaisselle et ustensiles de cuisine. Salle de bain : douche à l’italienne, sèche-serviette, meuble-vasque avec rangements, miroir. WC séparé. Un salon cosy avec canapé, fauteuil, table basse, meuble télé, TV, internet avec fibre, étagères, ainsi qu’une porte-fenêtre permettant d’accéder à un long balcon. Divers : étendoir à linge, aspirateur, matériel de nettoyage. Une cave pour entreposer les vélos. Le loyer est de 340 €/mois + 60€ de charges (eau, chauffage/gaz, électricité, internet avec fibre, ordures ménagères, entretien de la chaudière). Bail individuel sans clause de solidarité, permettant l’obtention d’aides au logement. Caution : 1 mois de loyer HC, soit 340 € Garant Téléphone : 06 80 80 70 71",14/12/2020
48,Appartement,Colocation,340,1020,90,"11,33333333",4,3,"Tout équipé, balcon",VALENCE,L'appartement est idéalement situé dans le centre ville.,4,B,C,,720,,https://www.leboncoin.fr/colocations/1894536818.htm,"Bonjour, Chambre à louer dans un spacieux appartement de 3 colocataires (parquet en chêne, cheminées en marbre, balcon, hauts plafonds…). L'appartement est idéalement situé dans le centre ville. Situé dans une copropriété calme et entretenue. - 1 min à pied de la gare SNCF - 3 min à pied du Pôle Bus - 10 min des facultés Camille Vernet, Cinéma... - Moins de 2 min pour commerces et salles de sport Parties communes : -Hall d'entrée de 9m2 -Salon 20m2, aménagé avec canapé, cheminée, placard mural, commode, table ronde… -Cuisine 15m2 équipée : four, gaz, réfrigérateur/congélateur, lave-vaisselle, micro-onde et toute la vaisselle et ustensiles de cuisine nécessaire… -Salle de bain avec machine à laver le linge + WC séparés - Balcon Parties privatives : La chambre est équipée d'un lit 2 place en 140 + bureau + rangements/armoire pour une montant de 340€ A cela s'ajoute 60€ qui correspondent aux charges (Internet, eau, gaz, EDF, entretien chaudière, copro) Local à vélos disponible Chaque bail est individuel sans clause de solidarité. 06 74 48 85 49 06 11 27 10 06",13/12/2020
49,Appartement,Colocation,350,1050,74,"14,18918919",5,3,Tout équipé,VALENCE,"Elle se situe à 15 min à pied ou en bus de la Gare SNCF, 10 min à pied de l’IUT et de l’ESISAR, 7 min en vélo ou 10 min en bus de l’université Grenoble Alpes, 5 min de l’Institut Notre Dame, 5 min de l’IFRSS-FI, 5 min du Centre hospitalier et à 10 min du centre-ville.",4,E,F,,900,,https://www.leboncoin.fr/colocations/1885997753.htm,"Colocation moderne de 3 chambres meublées et rénovées, située quartier Chateauvert, à 2 pas de la cité scolaire Camille Vernet. Entièrement meublée, décorée et équipée, elle vous séduira par son environnement calme et sa luminosité. Elle est située au 4ème et dernier étage de l’immeuble avec une vue dégagée. Dans une copropriété offrant une simplicité d'accès et de stationnement ( local vélos et garage voiture), avec entrée sécurisée, cette colocation est composée d’une pièce de vie meublée avec TV LED UHD et accès à un balcon , d’une cuisine toute équipée (plaque gaz, hotte aspirante, réfrigérateur/congélateur, lave-linge 6kg, lave-vaisselle 12 couverts, four traditionnel chaleur tournante, micro-onde, cafetière, bouilloire, vaisselle, etc...), d’une salle d’eau avec douche à l’italienne avec VMC, de WC séparé, de 3 chambres de 9 à 13 m2 avec un lit de 140*190, un dressing et un bureau dans chaque chambre et d’un espace de rangement commun pour les valises ou autres. Aspirateur, étendoir à linge, fer à repasser et nécessaire de ménage font également parti des équipements. Les commerces de proximités (boulangerie, épicerie, pharmacie, presse, poste, banque coiffeur) ainsi que les transports en commun (Arrêt Citéa Camille Vernet ou Montgolfier) sont à proximité immédiate de l’immeuble. Elle se situe à 15 min à pied ou en bus de la Gare SNCF, 10 min à pied de l’IUT et de l’ESISAR, 7 min en vélo ou 10 min en bus de l’université Grenoble Alpes, 5 min de l’Institut Notre Dame, 5 min de l’IFRSS-FI, 5 min du Centre hospitalier et à 10 min du centre-ville. Tous les profils de colocataires sont recherchés, sachant que l'important est d’avoir ""l'esprit coloc"". Adrien, opérateur en industrie, et Louis, commercial, vous attendent avec impatience. Une chambre est disponible fin décembre. Le loyer de la chambre est de 350€/mois + 75€/mois pour l'ensemble des charges. (Bail individuel sans clause de solidarité). Eligible à l’ALS. Les charges sont vos consommations d'eau, vos consommations d'électricité, vos consommations de chauffage, vos consommations de gaz, l'abonnement internet (fibre optique) avec abonnement Netflix offert, l’entretien de la chaudière gaz, ainsi que toutes les charges d'entretien de l'immeuble. Le dépôt de garantie est de 2 mois HC. Pour garantir l’harmonie entre les colocataires, les couples de sont pas admis. Pas de frais d’agence, ni de commission. Garantie financière demandée (3 fois le prix du loyer avec charge et garant) Garantie Visale acceptée. Premier contact par mail. Photos supplémentaires sur demande.",13/12/2020
50,Appartement,Colocation,390,780,64,"12,1875",3,2,Tout équipé,VALENCE,"Il est situé à 200 mètres du pôle bus, à 10 min à pied de la gare Valence Ville.",3,,,,,,https://www.leboncoin.fr/colocations/1893896629.htm,"Très bel appartement de 63.5m² côté rue. Il est situé à 200 mètres du pôle bus, à 10 min à pied de la gare Valence Ville. Situé au 1er étage sans ascenseur. L’appartement est entièrement meublé. Il comporte deux grandes chambres. Le salon comprend un canapé convertible, une table basse relevable et une télévision. La cuisine est entièrement équipée avec une double plaque vitro céramique, un four, un four à micro-onde, une hotte, un frigo américain avec congélateur, de la vaisselle, des verres, des tasses, des poêles, des casseroles, une bouilloire, une machine à café, un grille-pain, un presse-agrume. La salle de bain comporte une douche, un sèche serviette, une armoire de toilette et un sèche-cheveux. Il y a une machine à laver. Il restera à votre charge (eau, EDF, assurance habitation) à partager entre les colocataires. Le WIFI est compris dans les charges. Photos disponibles sur simple demande. L’appartement est prêt à vous accueillir à partir du 01/02/2021.",12/12/2020
51,Appartement,Colocation,430,1290,57,"22,63157895",5,3,Tout équipé,CLERMONT-FERRAND,"- 2minutes des facultés de droit et de lettres - 8 min à pied de la place de Jaude - 1 min à pied ligne de bus 13,8,4 - 1 min à pied du boulevard jean jaures -8 min à pied de la piscine de coubertin",5,C,D,,840,,https://www.leboncoin.fr/colocations/1895658662.htm,"Appartement de 3 chambres en colocation. Ce logement, qui a été refait à neuf en octobre dernier est entièrement meublé et équipé. Fenêtres double vitrage neuves (thermique, phonique). Vue traversante et dégagée depuis le salon et la cuisine, sur la ville et le Puy de Dôme. Tous les meubles et électroménagers sont neufs. Vous n'avez qu'à venir avec vos valises. CUISINE: L'appartement comprend une cuisine aménagée et équipée (frigo, four, four à micro-ondes, hote aspirante, vaisselle, casseroles, …) La cuisine s’ouvre sur une grand balcon donnant sur l'extérieur. SEJOUR Salon équipé avec TV écran plat (102cm) équipé d’un chromecast, 3 fauteuil, tables basses et nombreux rangements. SALLE DE BAINSalle de bain équipée d’un miroir avec éclairage, d'un meuble de rangement et d’une douche spatieuse à l'italienne. Toilettes séparés CHAMBRESLes chambres disposent toutes d'une belle luminosité et sont équipées d'une armoire, d'un grand bureau avec chaise confortable, lampe, et lit double 140x200cm.La literie est complète : matelas, couettes été et hiver, housses de couette, draps, oreillers. Ele est entièrement neuve et doublée, afin de faciliter votre emménagement et votre confort. Raccordement à la fibre par une prise. Chaque chambre dispose d'une serrure à clé individuelle. QUARTIER Appartement situé au 1 rues des pres bas à Clermont Ferrand.Résidence neuve et sécurisée par badge et interphone. - 2minutes des facultés de droit et de lettres - 8 min à pied de la place de Jaude - 1 min à pied ligne de bus 13,8,4 - 1 min à pied du boulevard jean jaures -8 min à pied de la piscine de coubertin LOYER par chambre : 430€ + 70€ de charges couvrant : - Electricité - Chauffage - Eau chaude et froide- Internet haut débit WIFI -135 chaines de televisions - Netflix - Ordures ménagères, nettoyage des parties communes. LOYER TOTAL MENSUEL POUR LA CHAMBRE : 500€ toutes charges comprises. Modalité de récupération des charges locatives : provision avec régularisation annuelle. Bail collectif avec caution de solidarité. Contactez-moi pour convenir d'une visite quand vous le souhaitez (me laisser un message avec vos coordonnés et vos disponibilités).",14/12/2020
52,Appartement,Colocation,375,1125,93,"12,09677419",4,3,Tout équipé,CLERMONT-FERRAND,"86 boulevard Lavoisier, Clermont-Ferrand",3,,,,,,https://www.leboncoin.fr/colocations/1895372517.htm,"Une chambre se libère fin décembre. Vous souhaitez vivre en colocation ? Vous êtes en fin d'études/jeune active ? Vous êtes responsable, respectueuse, ordonnée et sociable ? Alors cet appartement peut vous intéresser ! Jade et Christophe, jeunes actifs seront ravis de vous accueillir dans l'appartement. Appartement F4 de 93m2. Adresse exacte : 86 boulevard Lavoisier, Clermont-Ferrand Au 2ème étage d'une petite copropriété possédant un jardinet. Situé à 10min à pieds du centre-ville; les transports en commun et les commerces sont à proximité. Appartement meublé : - 3 chambres - Salon avec télé - Cuisine équipée - SDB et toilettes séparés - Placard de rangement Loyer = 375€ Toutes Charges Comprises (eau, gaz, électricité, internet...) N'hésitez pas à me contacter par mail/SMS/téléphone pour davantage d'informations ou pour visiter ! :)",14/12/2020
53,Appartement,Colocation,460,1380,68,"20,29411765",5,3,Tout équipé,CLERMONT-FERRAND,SAINT JACQUES,3,B,C,,,,https://www.leboncoin.fr/colocations/1894620588.htm,"Particulier propose la dernière chambre disponible en colocation haut de gamme dans un appartement rénové et meublé de 68 m², au 4ème étage sans vis-à-vis, dans une résidence bien entretenue. - Chambre lumineuse, équipée d'un lit double, chevet, bureau et chaise, placard de rangement - Grande cuisine équipée, réfrigérateur-congélateur, plaques induction, four, four micro-ondes, machine à café, lave linge, lave-vaisselle, grille-pain, table et chaises, ustensiles de cuisine - Salle de bain avec douche à l'italienne - Sanitaires communs - Fenêtres des chambres en double vitrage depuis début juin 2019. Le nombre d'occupants est limité à 3 (les deux autres chambres sont occupées par deux étudiantes). Loyer toutes charges comprises 460 € par mois. L'appartement est mis à disposition des colocataires avec tous les services nécessaires : Internet, téléphonie, téléviseur, chauffage, eau, électricité. Vous n'avez plus qu'à poser vos valises ! Entre 5 et 10 minutes à pied alentour, vous trouverez boulangerie, cabinet médical, supermarché, pharmacie... En 15 minutes maxi à pied vous êtes en hyper-centre de Clermont-Ferrand (place de Jaude). Arrêt du tramway à 5 minutes à pied (viaduc Saint-Jacques). Une chambre est disponible à partir du 3 janvier 2021 (possible avant cette date). 1er contact par mail, merci d'envoyer votre description de profil (étudiant, salarié, garants ou non) et vos motivations pour la colocation et la vie à Clermont-Ferrand.",13/12/2020
54,Appartement,Colocation,360,720,68,"10,58823529",3,2,Tout équipé,CLERMONT-FERRAND,"- proche Cézeaux et CHU
- 200 m arrêt de TRAM
- 15 mn de la place de Jaude
- Boulangerie et Auchan à proximité",4,D,D,,720,,https://www.leboncoin.fr/colocations/1892946506.htm,"1 chambre disponible dans T3 rénové et meublé Situé : - proche Cézeaux et CHU - 200 m arrêt de TRAM - 15 mn de la place de Jaude - Boulangerie et Auchan à proximité Composition : 1 chambre : Lit 2 places avec sommier et matelas - 2 chevets - 1 bureau Séjour : Canapé d'angle - TV - Table+chaises Cuisine : Lave-vaiselle - Meubles hauts et bas - Four - Plaques à gaz - Frigo - Four micro-ondes Vaiselles et ustensiles de cuisine Salle de bain : Douche - Lavabo avec meuble - Miroir - Sèche serviettes WC indépendant Garage Prix : Loyer 360 € + charges 60 € (électricité, eau chaude et froide, gaz) Caution : 420 € Eligible APL Disponible à partir du 01/01/2021 Collocation avec un jeune étudiant en première année de licence de biologie. N'hésitez pas à me contacter pour plus d'informations ou de photos. 04 71 20 62 25 - 06 809 429 89 -",10/12/2020
55,Appartement,Colocation,410,1230,80,"15,375",4,3,Tout équipé,CLERMONT-FERRAND,Salins,3,C,D,,720,,https://www.leboncoin.fr/colocations/1892642518.htm,"Chambre de 14.5m2 dans appartement entièrement rénové. 2e étage avec ascenseur. Situé aux Salins juste à coté de la piscine Coubertin pour se rafraichir l'été! Proche des facs, du trammway et de Jaude. Supermarché à 3mn et nombreux commerces: pizza, kebab, boulangerie, pharmacie... Vous rejoindrez Noémie 23 ans et Emmanuelle 21 ans, étudiantes. Descriptif: - Salle de bain style atelier, grande douche 120*90, meuble vasque double, lave linge et sèche linge. - WC séparé - Cuisine équipée neuve: . lave vaisselle . plaque induction . four intégré . micro onde intégré . frigo/congel américain . cafetière senseo . casseroles, poêles, plats, vaisselle.... - Salon style industriel: . canapé d'angle . table basse . meuble TV . TV Phillips ambilight 165 cm!!! . fibre Free - Chambre: . lit 190*140 avec grands tiroirs intégrés . matelas epeda à ressorts . chevet . dressing . bureau avec lampe . chaise de bureau - Couloir avec un petit placard contenant une clim mobile et un aspirateur sans fil. Bail séparé pour chaque colocataire. Les charges pour chaque locataire sont de 60€ et comprennent électricité, eau froide/chaude, chauffage, fibre free. Chambre de 14.5 m² à 410€ hors charges. soit 470€ charges comprises. Contact de préférence par téléphone.",9/12/2020
56,Appartement,Colocation,330,990,57,"17,36842105",4,3,Tout équipé,CLERMONT-FERRAND,3 minutes à pied de la Faculté de Droit et de Lettres et à 15 minutes à pied du Centre Ville.,4,D,D,,780,,https://www.leboncoin.fr/colocations/1892085651.htm,"1 chambre est à louer dans cet appartement de 3 chambres situé sur Clermont Ferrand et entièrement refait à neuf. Il est situé à seulement 3 minutes à pied de la Faculté de Droit et de Lettres et à 15 minutes à pied du Centre Ville. L’appartement est entièrement meublé: -> Cuisine toute équipée : Machine à laver, four, réfrigérateur grande taille, plaque à induction, micro-ondes, Machine Nespresso, grille-pain, bouilloire, vaisselle -> Chambres équipées de serrures individuelles, de lit 140*200, linge de lit, bureau et d’une armoire 1 WC indépendant Proche tous commerces (superette et divers restaurants à 1 min à pied), arrêt de bus en face de l’appartement, arrêt de tramway à 5 minutes à pied. Afin de garder un environnement qui sera harmonieux pour tous les colocataires, je privilégie des étudiants et jeunes actifs sérieux (ses) et sachant vivre en communauté. Bail individuel et éligible aux APL (entre 100 euros et 150 euros d'APL par étudiant, ce qui équivaut à un loyer final entre 245 euros et 295 euros). Possibilité de bénéficier de la garantie VISALE pour les étudiants étrangers (qui ne disposent pas de garants français). Le loyer est de 330 euros + 65 euros de charge. Ces charges comprennent l’accès internet par Fibre, l’électricité + chauffage, l’eau et une femme de ménage qui passe tous les 15 jours pour nettoyer les communs (SdB, WC, Cuisine, couloirs). Vous n’aurez donc rien à payer en dehors de ce loyer.",8/12/2020
57,Appartement,Colocation,350,2100,140,15,8,6,Tout équipé,SAINT-ETIENNE,Hypercentre,5,,,,,,https://www.leboncoin.fr/colocations/1899931662.htm,"--350€ TOUTES CHARGES COMPRISES (électricité, chauffage, eau, internet, ménage)--- Il reste 3 chambres disponibles Vous aimez les grands espaces et la convivialité et vous souhaitez également pouvoir bénéficier d’un espace privé quand vous le souhaitez ? Cet ancien laboratoire de 140 m2 transformé en un grand appartement entièrement meublé vous apportera tout le confort que vous désirez avec un espace de vie commun de plus de 40m2 tout en conservant votre espace privé grâce à de grandes chambres verrouillables. Tout a été pensé pour votre plus grand confort, tout est neuf : - Un grand salon DESIGN, - Internet, électricité fournis - Un agent d’entretien passera 2 fois par mois pour le ménage dans les parties communes de l’appartement - Une cuisine TOUTE EQUIPEE, avec grand frigo/congélateur, four, micro-onde, lave-vaisselle et plaques vitro. (La vaisselle et les ustensiles de cuisine sont fournis) - 3 salles de bain 2 WC pour faciliter l’organisation entre colocataires - Lave-linge et sèche-linge - 6 chambres, chacune pourvue d’un lit double, d’une armoire et d’un bureau avec étagère. Des draps, couettes et serviettes sont disponibles pour votre arrivée. Vous n’avez plus qu’à déposer vos valises ! (AUTRES PHOTOS DISPONIBLES SUR DEMANDE) L’appartement est situé dans une rue calme dans l’hypercentre de Saint-Etienne, proche des écoles et des facs et de la gare : - A 1km de la gare St-Etienne Chateaucreux - A 1.1km de l’Ecole nationale supérieure d'architecture de Saint-Etienne, - A 1.4km de la fac de droit - A 2.4km de l’Ecole des mines - A 3km de l’école d’ingénieur ENISE - A 3km de la fac de médecine - A 3.5km de la fac de science - A 350m du Cinéma « Le camion rouge » Arrêts de 2 trams au coin de la rue. De multiples commerces, restaurants et bar à proximité vous permettront de profiter des commodités du centre-ville à 5 minutes à pieds de chez vous. Nous recherchons des locataires de qualité, respectueux de l’appartement qu’on leur confie, de leurs colocataires et de la tranquillité du voisinage de cet immeuble d’habitation. Vous êtes étudiant, stagiaire ou jeune salarié, vous correspondez à nos critères? Venez visiter notre appartement et posez-y vos valises !!! A bientôt",23/12/2020
58,Appartement,Colocation,320,960,84,"11,42857143",4,3,Tout équipé,SAINT-ETIENNE,,,C,C,,,,https://www.leboncoin.fr/colocations/1785942653.htm,"Je loue en co location, 3 chambres dans un appartement confortable de 85 m² (non-fumeurs) avec grand balcon, cuisine équipée à disposition, salle de bain, w. C., lave-linge, linge fourni et Wifi. L'appartement est idéalement situé: à proximité des transports en commun, du centre-ville, de tous les commerces et du Campus facultés/site Tréfilerie, le tout à 5 min à pied. Libre au 01 mai 2021",23/12/2020
59,Appartement,Colocation,340,1700,200,"8,5",8,5,Tout équipé,SAINT-ETIENNE,"hypercentre secteur Dorian, Fourneyron, Hotel de ville, Jean Jaurès",5,,,,,,https://www.leboncoin.fr/colocations/1899727254.htm,"Bonjour Je vous propose une chambre dans cette coloc lumineuse et sécurisée, situé en hypercentre secteur Dorian, Fourneyron, Hotel de ville, Jean Jaurès.. dans une rue calme a deux pas de la gare. Qu'est-ce que vous y trouverez? - 4 super colocs Marie (technicienne énergétique), Marine(architecte), Youssef (ingénieur en intelligence artificielle) et Maxence (étude ingénieur en métallurgie), tous jeunes actifs et motivés dans différents projets. - L'appart est tout équipé pour une vie a plusieurs et a aussi 2 places de parking dans un cour intérieure fermée Votre chambre est équipées de placard, d'un bureau avec sa lampe et d'un lit double (2 oreillers, couette E/H et housse de couette). Le montant des charges correspond à toutes les charges : gaz, électricité, internet et le nettoyage des parties communes de l'appartement par une entreprise . Vous n'aurai aucunes factures a payer de plus Il reste une chambre pour compléter l équipe, contacte nous et passe nous rencontrer.. 06 62 06 65 98.",22/12/2020
60,Appartement,Colocation,510,1530,70,"21,85714286",4,3,Tout équipé,SAINT-ETIENNE,,?,F,E,,,,https://www.leboncoin.fr/colocations/1899717392.htm,". Appartement 70M2 . 3 Chambres au total (Lits Doubles) . 1 Salles d eau . Disponible de suite . Colocation Meublée . Fibre Nous vous proposons 3 chambres en colocation haut de gamme dans un appartement entièrement rénové et meublé de 70M2, lumineux et spacieux au 6eme étage avec ascenseur situé au pied du tram dans une résidence calme et dans un quartier en plein développement Les chambres sont disponibles dès maintenant. Vous ne voulez plus d’un coin cuisine équipé à minima sans rangement pour vos affaires ? Ça vous fatigue peut-être de descendre votre linge pour le laver à l’extérieur en hiver ? Aujourd’hui, vous recherchez une colocation reposante où vous pouvez vous sentir bien chez vous. Vous avez besoin de vous investir pour votre premier emploi, votre stage ou vos études. - Chambres lumineuses, équipées d’un lit double, d’une TV (smart TV), bureau, placard de rangement. - Cuisine équipée, réfrigérateur, plaque vitrocéramique, four micro-ondes, machine à café, lave-linge séchant, lave-vaisselle, table bar, ustensiles de cuisine. - 1 salles d’eau commune - 1 sanitaire commun - Accès immeuble sécurisé avec interphone - Supermaché à proximité de l’immeuble pour faire vos courses en moins de 10mns - Aspirateur, table et fer à repasser à disposition. Vous aurez une cuisine pour jouir d’un espace de vie agréable et partager vos dîners. Le nombre d’occupants est limité à 3 (Pas de couples). Accès tram et bus : 1 min vous serez en tram à : - 15 min de la faculté de médecine - 10 min du centre ville (arrêt Hôtel de Ville ) En voiture : - A 3 min de l’A72 Loyer toute charges 510€CC L’appartement est mis à disposition des colocataires avec tous les services nécessaires, internet (Fibre), chauffage, eau chaude, eau froide et électricité. Bail indépendant. Vous n’aurez plus qu’à poser vos valises. Honoraires à la charge du locataire : 249 € TTC dont 68 € pour l'état des lieux Dépôt de garantie : 510€",24/12/2020
